field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Solarworld,SW Plus 275 mono Albarino,Module,1675 x 1001 x 21.2,Germany,Yes,0,3,15/12/2024 09:16:18,SecondSol,https://www.secondsol.com/de/anzeige/19345,825.00,3
Solarworld,Plus SW 275 mono black,Module,1675 x 1001 x 18,Germany,Yes,0,43,15/12/2024 09:16:19,SecondSol,https://www.secondsol.com/de/anzeige/19346,825.00,43
Solarworld,SW Plus 275 mono 5BB,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:20,SecondSol,https://www.secondsol.com/de/anzeige/19347,825.00,1
Solarworld,SW Plus 275 mono black 5BB,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:20,SecondSol,https://www.secondsol.com/de/anzeige/19348,825.00,1
Tianwei,TW280P72-EA,Module,1956 x 992 x 22.5,Germany,Yes,0,1,15/12/2024 09:16:21,SecondSol,https://www.secondsol.com/de/anzeige/19375,420.00,1
IBC Solar,IBC-MonoSol-245ET,Module,1680 x 990 x 24,Germany,Yes,0,1,15/12/2024 09:16:21,SecondSol,https://www.secondsol.com/de/anzeige/19378,441.00,1
Linuo,LNPV-N180,Module,1590 x 808 x 15.5,Germany,Yes,0,3,15/12/2024 09:16:22,SecondSol,https://www.secondsol.com/de/anzeige/19382,324.00,3
Topsolar,TSM-160M-180,Module,1580 x 808 x 17,Germany,Yes,0,3,15/12/2024 09:16:22,SecondSol,https://www.secondsol.com/de/anzeige/19384,324.00,3
Solarworld,SW Protect 265 mono 2.5 Frame,Module,1675 x 1001 x 21.2,Germany,Yes,0,1,15/12/2024 09:16:23,SecondSol,https://www.secondsol.com/de/anzeige/19417,742.00,1
Solarworld,SW Plus 170 Mono Black,Module,1610 x 810 x 15.4,Germany,Yes,0,36,15/12/2024 09:16:23,SecondSol,https://www.secondsol.com/de/anzeige/19399,425.00,36
Solarworld,SW PL 165 Mono Laminate,Module,1605 x 805 x 13.5,Germany,Yes,0,10,15/12/2024 09:16:28,SecondSol,https://www.secondsol.com/de/anzeige/19398,0,10
Solarworld,SW Plus 170 Mono Laminate,Module,1605 x 805 x 13.5,Germany,Yes,0,9,15/12/2024 09:16:29,SecondSol,https://www.secondsol.com/de/anzeige/19400,515.00,9
Solarworld,SW Plus 250 Mono Black,Module,1675 x 1001 x 21.2,Germany,Yes,0,11,15/12/2024 09:16:29,SecondSol,https://www.secondsol.com/de/anzeige/19403,625.00,11
Solarworld,SW Plus 260 Mono Black,Module,1675 x 1001 x 21.2,Germany,Yes,0,2,15/12/2024 09:16:30,SecondSol,https://www.secondsol.com/de/anzeige/19405,650.00,2
Solarworld,SW Plus 215 poly,Module,1675 x 1001 x 21.2,Germany,Yes,0,2,15/12/2024 09:16:30,SecondSol,https://www.secondsol.com/de/anzeige/19412,0,2
Solarworld,SW Plus 240 poly,Module,1675 x 1001 x 21.2,Germany,Yes,0,1,15/12/2024 09:16:31,SecondSol,https://www.secondsol.com/de/anzeige/19413,600.00,1
Solarworld,SW Protect 250 poly - 250Wp,Module,1675 x 1001 x 21.2,Germany,Yes,0,4,15/12/2024 09:16:32,SecondSol,https://www.secondsol.com/de/anzeige/19414,625.00,4
Solarworld,SW 100 Poly RGP B-Ware - 100Wp,Module,734 x 1001 x 8,Germany,Yes,0,63,15/12/2024 09:16:32,SecondSol,https://www.secondsol.com/de/anzeige/19415,380.00,63
Solarworld,SW Plus 260 Mono - 260Wp,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:33,SecondSol,https://www.secondsol.com/de/anzeige/19416,728.00,1
Solarworld,SW Plus 260 Mono BK - 260Wp,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:33,SecondSol,https://www.secondsol.com/de/anzeige/19418,728.00,1
Solarworld,SW Plus 270 Mono - 270Wp,Module,1675 x 1001 x 18,Germany,Yes,0,34,15/12/2024 09:16:34,SecondSol,https://www.secondsol.com/de/anzeige/19419,756.00,34
Solarworld,SW Plus 270 Mono Black,Module,1675 x 1001 x 21.2,Germany,Yes,0,15,15/12/2024 09:16:34,SecondSol,https://www.secondsol.com/de/anzeige/19420,756.00,15
Solarworld,SW Plus 275 Mono - 275Wp,Module,1675 x 1001 x 21.2,Germany,Yes,0,26,15/12/2024 09:16:35,SecondSol,https://www.secondsol.com/de/anzeige/19421,770.00,26
Solarworld,SW Plus 275 Mono (Albarino) -275Wp,Module,1675 x 1001 x 21.2,Germany,Yes,0,2,15/12/2024 09:16:35,SecondSol,https://www.secondsol.com/de/anzeige/19424,770.00,2
Solarworld,SW Plus 275 Mono Black - 275Wp,Module,1675 x 1001 x 21.2,Germany,Yes,0,36,15/12/2024 09:16:36,SecondSol,https://www.secondsol.com/de/anzeige/19425,770.00,36
Solarworld,SW Plus 275 Mono Black 5BB - 275Wp,Module,1675 x 1001 x 18,Germany,Yes,0,4,15/12/2024 09:16:37,SecondSol,https://www.secondsol.com/de/anzeige/19426,770.00,4
Solarworld,SW Plus 280 Mono - 280Wp,Module,1675 x 1001 x 18,Germany,Yes,0,7,15/12/2024 09:16:37,SecondSol,https://www.secondsol.com/de/anzeige/19428,784.00,7
Solarworld,SW Plus 280 Mono 5BB - 280 Wp,Module,1675 x 1001 x 18,Germany,Yes,0,5,15/12/2024 09:16:38,SecondSol,https://www.secondsol.com/de/anzeige/19431,784.00,5
Solarworld,SW Plus 285 Mono - 285Wp,Module,1675 x 1001 x 18,Germany,Yes,0,53,15/12/2024 09:16:38,SecondSol,https://www.secondsol.com/de/anzeige/19432,570.00,53
Solarworld,SW Plus 285 Mono Black - 285Wp,Module,1675 x 1001 x 18,Germany,Yes,0,23,15/12/2024 09:16:39,SecondSol,https://www.secondsol.com/de/anzeige/19433,798.00,23
Solarworld,SW Protect 250 poly - 250Wp,Module,1675 x 1001 x 21.2,Germany,Yes,0,1,15/12/2024 09:16:39,SecondSol,https://www.secondsol.com/de/anzeige/19434,700.00,1
Solarworld,SW Protect 255 poly - 255Wp,Module,1675 x 1001 x 21.2,Germany,Yes,0,1,15/12/2024 09:16:40,SecondSol,https://www.secondsol.com/de/anzeige/19436,714.00,1
Solarworld,SW Plus 260 poly WOB - 260Wp,Module,1675 x 1001 x 18,Germany,Yes,0,6,15/12/2024 09:16:40,SecondSol,https://www.secondsol.com/de/anzeige/19437,728.00,6
Solarworld,SW Plus 280 Mono Black - 280Wp,Module,1675 x 1001 x 18,Germany,Yes,0,4,15/12/2024 09:16:41,SecondSol,https://www.secondsol.com/de/anzeige/19438,840.00,4
Solarworld,GPV 102W - 102Wp,Module,1293 x 650 x 9.1,Germany,Yes,0,3,15/12/2024 09:16:41,SecondSol,https://www.secondsol.com/de/anzeige/19439,0,3
Solarworld,GPV 110Wp,Module,1293 x 650 x 9.1,Germany,Yes,0,31,15/12/2024 09:16:45,SecondSol,https://www.secondsol.com/de/anzeige/19440,0,31
Solarworld,SW 320 XL mono B-Ware - 320Wp,Module,1993 x 1001 x 21.6,Germany,Yes,0,9,15/12/2024 09:16:46,SecondSol,https://www.secondsol.com/de/anzeige/19443,768.00,9
Solarworld,SW PL 160 Compact Mono Black - 160Wp,Module,1675 x 682 x 13,Germany,Yes,0,67,15/12/2024 09:16:47,SecondSol,https://www.secondsol.com/de/anzeige/19447,480.00,67
Solarworld,SW PL 165 Compact poly SunPlain - 165Wp,Module,1722 x 707 x 15.4,Germany,Yes,0,86,15/12/2024 09:16:47,SecondSol,https://www.secondsol.com/de/anzeige/19448,495.00,86
