field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Huawei, SUN2000 3KTL-L1 1ph Hybrid Inverter,Inverter,,UK,Yes,0,6,15/12/2024 09:11:07,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-3-ktl-l1-1ph-hybrid-inverter,492.96,6
Growatt," SPA3000, Single Phase AC Coupled Low Voltage Battery Inverter",Inverter,,UK,0,08/01/2025,0,15/12/2024 09:11:14,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-spa3000-ac-coupled,441.31,0
SMA, Sunny Boy SB 3.0 1AV-41 Inverter - With WiFi,Inverter,,UK,Yes,0,1,15/12/2024 09:11:22,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sma-sunny-boy-sb3-0-1av-41,475.00,1
Sungrow, 3.6kW Single Phase String Inverter - Dual Tracker,Inverter,,UK,Yes,0,2,15/12/2024 09:11:29,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sungrow-3-6kw-single-phase-string-inverter-dual-tracker,355.45,2
Sungrow, 3.6kW Single Phase Hybrid Inverter - Dual Tracker,Inverter,,UK,Yes,0,4,15/12/2024 09:11:37,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sungrow-3-6kw-single-phase-hybrid-inverter-dual-tracker,536.65,4
Viridian Clearline," 3.6kW 1ph Inverter, 2 MPPT, With DC",Inverter,,UK,0,0,0,15/12/2024 09:11:44,ESTG,https://www.alternergy.co.uk/products/solar-inverters/viridian-clearline-inverter-3-6kw-1ph-inverter-2-mppt-with-dc,434.74,0
Growatt," MIN 3600 TL-XH, 3.6kW, 1ph, 2MPPT, HV, Hybrid Inverter",Inverter,,UK,Yes,0,18,15/12/2024 09:11:52,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-min-3600-tlxh-3.6kw-1ph-2mppt-hybrid-inverter,345.23,18
Growatt," SPH 3600 TL BL-UP, 3.6kW, 1Ph, Hybrid Inverter",Inverter,,UK,Yes,0,9,15/12/2024 09:12:00,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-sph-3600-tl-bl-up-3-6kw-1ph-hybrid-inverter,580.96,9
Growatt," MIN 3600 TL-X 1Ph, 2 MPPTs Inverter, AFCI, With DC Isolator",Inverter,,UK,Yes,0,10,15/12/2024 09:12:08,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-min-3600-tl-x-dc-isolator,318.41,10
Fox ESS, H1 G2 3.68kW 1ph Hybrid Inverter,Inverter,,UK,Yes,0,7,15/12/2024 09:12:16,ESTG,https://www.alternergy.co.uk/products/solar-inverters/fox-ess-h1-g2-3-68kw-1ph-hybrid-inverter,621.20,7
Huawei, SUN2000 3.68KTL-L1 1ph Hybrid Inverter,Inverter,,UK,Yes,0,10,15/12/2024 09:12:25,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-3-68-ktl-l1-1ph-hybrid-inverter,580.04,10
SMA, Sunny Boy SB 3.6 1AV-41 Inverter - With WiFi,Inverter,,UK,Yes,0,43,15/12/2024 09:12:33,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sma-sunny-boy-sb3-6-1av-41,499.00,43
Sungrow, 4kW Single Phase String Inverter - Dual Tracker,Inverter,,UK,Yes,0,2,15/12/2024 09:12:40,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sungrow-4kw-single-phase-string-inverter-dual-tracker,368.52,2
